ID,min_year,max_year
1349,1976,1992
1350,1973,1991
1351,1978,1991
1352,1978,1991
1353,1970,1994
1354,1974,1994
1355,1975,1994
1356,1974,1994
1357,1974,1994
1358,1973,1994
1359,1976,1994
1360,1976,2014
1361,1970,2007
1362,1978,1986
1363,1973,1989
1364,1973,1987
1365,1978,1983
1366,1976,1994
1367,1970,1992
1368,1970,1993
1369,1970,1994
1370,1971,1992
1371,1980,1993
1372,1970,1981
1373,1982,1993
1374,1995,2010
1375,1970,1981
1376,1982,1994
1377,1995,2016
1378,2003,2015
1379,2006,2014
1380,2009,2012
1381,2007,2012
1382,2007,2012
1383,2007,2012
1384,2008,2012
1385,2012,2016
1386,2007,2015
1387,2007,2012
1388,2003,2015
1389,2004,2014
1390,2006,2016
1391,1985,1992
1392,1987,1994
1393,1988,1994
1394,1977,1994
1395,1987,1994
1396,1987,1992
1397,2008,2014
1398,1978,1988
1399,1978,1988
1400,1973,1994
1401,1970,1994
1402,1977,1994
1403,1973,1994
1404,1972,1994
1405,1973,1994
1406,1972,1994
1407,1977,1994
1408,1982,1994
1409,1982,1987
1410,1983,1987
1411,1976,2013
1412,1991,1993
1413,1999,2014
1414,1995,2005
1415,2004,2015
1416,2006,2014
1417,2006,2016
1418,1978,1991
1419,1973,1994
1420,1973,1994
1421,1989,1994
1422,1982,1994
1423,1983,1994
1424,1983,1987
1425,1983,1987
1426,1982,1994
1427,1976,1985
1428,1982,1987
1429,1985,1987
1430,2004,2015
1431,2005,2015
1432,1980,1994
1433,2012,2014
1434,2012,2014
1435,2012,2014
1436,2012,2014
1437,2012,2014
1438,2012,2013
1439,2012,2014
1440,1979,1994
1441,1986,1991
1442,1995,2016
1443,1995,2016
1444,2005,2015
1445,2007,2012
1446,2002,2006
1447,2003,2006
1448,2007,2012
1449,1978,1988
1450,1978,1991
1451,1973,1994
1452,1970,1994
1453,1977,1994
1454,1975,1994
1455,1981,1987
1456,1979,1987
1457,1979,1986
1458,2010,2014
1459,1978,1991
1460,1978,1991
1461,1971,1994
1462,1987,1993
1463,1974,1993
1464,1978,1992
1465,1978,1992
1466,1982,1992
1467,1970,1992
1468,1979,1994
1469,1978,1993
1470,1982,2005
1471,1978,1994
1472,1983,1989
1473,2004,2006
1474,2012,2015
1475,2013,2015
1476,1978,1994
1477,1978,1994
1478,1970,1994
1479,1980,1993
1480,1978,1994
1481,1973,1994
1482,1970,1994
1483,1978,1994
1484,1971,1994
1485,1971,1994
1486,1973,2016
1487,1971,1981
1488,1983,1993
1489,1995,2016
1490,1985,1993
1491,1996,2016
1492,1978,1991
1493,1977,1991
1494,1970,1994
1495,1970,1994
1496,1970,1994
1497,1972,1994
1498,1971,1994
1499,1970,1994
1500,1971,1994
1501,1972,1994
1502,1970,1994
1503,1970,1994
1504,1970,1994
1505,1971,1993
1506,1970,1994
1507,1971,2016
1508,1970,1981
1509,1984,1994
1510,1995,2015
1511,1970,1981
1512,1982,1994
1513,1995,2016
1514,2004,2013
1515,2005,2011
1516,2005,2015
1517,2010,2016
1518,1979,1993
1519,1974,1988
1520,1974,1987
1521,1979,1987
1522,2006,2015
1523,2008,2015
1524,2001,2015
1525,1971,1990
1526,1970,1994
1527,1970,1982
1528,1973,1994
1529,1970,1994
1530,1970,1994
1531,1973,1994
1532,1970,1994
1533,1970,1994
1534,1970,1994
1535,1970,1994
1536,1973,1994
1537,1982,1994
1538,1973,2016
1539,1972,1981
1540,1984,1992
1541,1995,2016
1542,1995,2016
1543,2012,2014
1544,2005,2015
1545,2005,2015
1546,2008,2016
1547,2008,2014
1548,2011,2015
1549,2009,2015
1550,2008,2016
1551,2010,2016
1552,2004,2011
1553,2010,2014
1554,1973,1993
1555,1971,1993
1556,1982,1991
1557,1972,1992
1558,1972,1992
1559,1974,1994
1560,1985,1994
1561,1981,1985
1562,1974,2016
1563,1978,1988
1564,1978,1988
1565,1978,1994
1566,1971,1994
1567,1984,1994
1568,1983,1994
1569,1983,1994
1570,1985,1994
1571,1983,1994
1572,1974,1994
1573,1971,1994
1574,1970,1994
1575,1984,1994
1576,1974,2016
1577,1995,2016
1578,2001,2014
1579,1978,1988
1580,1975,1994
1581,1978,1994
1582,1974,1994
1583,1971,2016
1584,2000,2015
1585,1976,1984
1586,1977,1994
1587,1974,1994
1588,1979,1994
1589,1985,1994
1590,1987,1991
1591,1980,1989
1592,2004,2010
1593,2004,2010
1594,2009,2010
1595,2004,2010
1596,2005,2010
1597,2005,2010
1598,2009,2010
1599,2004,2010
1600,2008,2010
1601,2004,2010
1602,2008,2010
1603,2008,2010
1604,2006,2010
1605,2004,2010
1606,2004,2010
1607,2009,2010
1608,2004,2010
1609,2004,2010
1610,2005,2010
1611,2004,2010
1612,2005,2010
1613,2009,2010
1614,2004,2010
1615,2006,2010
1616,2005,2009
1617,2004,2010
1618,2007,2010
1619,2004,2010
1620,2008,2010
1621,2004,2010
1622,2007,2010
1623,2004,2010
1624,2009,2010
1625,2005,2010
1626,2004,2010
1627,2011,2014
1628,2011,2014
1629,2011,2014
1630,2011,2014
1631,2011,2014
1632,2011,2014
1633,2011,2014
1634,2011,2014
1635,2011,2014
1636,2011,2014
1637,2011,2014
1638,2011,2014
1639,2011,2014
1640,2011,2014
1641,2011,2014
1642,2011,2014
1643,2011,2014
1644,2011,2014
1645,2011,2014
1646,2011,2014
1647,2011,2014
1648,2011,2014
1649,2011,2014
1650,2011,2014
1651,2011,2014
1652,2011,2014
1653,2011,2014
1654,2011,2014
1655,2011,2014
1656,2011,2014
1657,2011,2014
1658,2011,2014
1659,2011,2014
1660,2007,2012
